QueryID	Number of annotations replaced	Best Match--BP Symmetric Profile IC	Best Match Similarity--BP Symmetric Profile IC	Best Match--BP Symmetric Annotation IC	Best Match Similarity--BP Symmetric Annotation IC	Best Match--BP Asymmetric Profile IC	Best Match Similarity--BP Asymmetric Profile IC	Best Match--BP Asymmetric Annotation IC	Best Match Similarity--BP Asymmetric Annotation IC	Best Match--AP Profile IC	Best Match Similarity--AP Profile IC	Best Match--AP Annotation IC	Best Match Similarity--AP Annotation IC	Best Match--BP Asymmetric Simj	Best Match Similarity--BP Asymmetric Simj	Best Match--BP Symmetric Simj	Best Match Similarity--BP Symmetric Simj	Best Match--AP Simj	Best Match Similarity--AP Simj
VTO_0035069	10	VTO_0035069	0.7	VTO_0035069	0.81	VTO_0035069	0.7	VTO_0035069	0.81	VTO_0060108	0.02	VTO_9016999	0.18						
VTO_0035069	11	VTO_0035069	0.68	VTO_0035069	0.805	VTO_0035069	0.68	VTO_0035069	0.805	VTO_0060108	0.02	VTO_9016999	0.18						
VTO_0035069	12	VTO_0035069	0.68	VTO_0035069	0.805	VTO_0035069	0.68	VTO_0035069	0.805	VTO_9010598	0.02	VTO_9016999	0.18						
VTO_0035069	13	VTO_0035069	0.68	VTO_0035069	0.805	VTO_0035069	0.68	VTO_0035069	0.805	VTO_0060108	0.02	VTO_9016999	0.18						
VTO_0035069	14	VTO_0035069	0.67	VTO_0035069	0.795	VTO_0035069	0.67	VTO_0035069	0.795	VTO_0060108	0.02	VTO_0033624	0.18						
VTO_0035069	15	VTO_0035069	0.655	VTO_0035069	0.79	VTO_0035069	0.655	VTO_0035069	0.79	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	16	VTO_0035069	0.58	VTO_0035069	0.745	VTO_0035069	0.58	VTO_0035069	0.745	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	17	VTO_0035069	0.5	VTO_0035069	0.695	VTO_0035069	0.5	VTO_0035069	0.695	VTO_0060108	0.02	VTO_0033624	0.18						
VTO_0035069	18	VTO_0035069	0.485	VTO_0035069	0.69	VTO_0035069	0.485	VTO_0035069	0.69	VTO_0060108	0.02	VTO_0033624	0.18						
VTO_0035069	19	VTO_0035069	0.4475	VTO_0035069	0.66	VTO_0034991	0.475	VTO_0034991	0.675	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	20	VTO_0035069	0.3775	VTO_0035069	0.605	VTO_0034991	0.465	VTO_0034991	0.67	VTO_9010598	0.02	VTO_0002634	0.18						
VTO_0035069	21	VTO_0035069	0.33	VTO_0035069	0.575	VTO_0034991	0.465	VTO_0034991	0.67	VTO_0033624	0.025	VTO_0033624	0.185						
VTO_0035069	22	VTO_0034991	0.3075	VTO_0035069	0.5525	VTO_0034991	0.475	VTO_0034991	0.675	VTO_0033624	0.025	VTO_0033624	0.185						
VTO_0035069	23	VTO_0034991	0.3075	VTO_0035069	0.54	VTO_0034991	0.475	VTO_0034991	0.675	VTO_0033624	0.025	VTO_0033624	0.185						
VTO_0035069	24	VTO_0034991	0.3075	VTO_0034991	0.5375	VTO_0034991	0.475	VTO_0034991	0.675	VTO_0046012	0.03	VTO_0046012	0.2						
VTO_0035069	25	VTO_0034991	0.305	VTO_0034991	0.5375	VTO_0034991	0.47	VTO_0034991	0.675	VTO_0046012	0.025	VTO_0033624	0.18						
VTO_0035069	26	VTO_0034991	0.295	VTO_0034991	0.535	VTO_0034991	0.45	VTO_0034991	0.67	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	27	VTO_0034991	0.295	VTO_0034991	0.535	VTO_0034991	0.45	VTO_0034991	0.67	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	28	VTO_0034991	0.3075	VTO_0034991	0.5375	VTO_0034991	0.475	VTO_0034991	0.675	VTO_9006308	0.02	VTO_0033624	0.18						
VTO_0035069	29	VTO_0034991	0.3075	VTO_0034991	0.5375	VTO_0034991	0.475	VTO_0034991	0.675	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	30	VTO_0034991	0.3075	VTO_0034991	0.5375	VTO_0034991	0.475	VTO_0034991	0.675	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	31	VTO_0034991	0.295	VTO_0034991	0.535	VTO_0034991	0.45	VTO_0034991	0.67	VTO_9010598	0.02	VTO_9006308	0.18						
VTO_0035069	32	VTO_0034991	0.3075	VTO_0034991	0.5375	VTO_0034991	0.475	VTO_0034991	0.675	VTO_9010598	0.02	VTO_9006308	0.18						
VTO_0035069	33	VTO_0034991	0.315	VTO_0034991	0.54	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0033624	0.18						
VTO_0035069	34	VTO_0034991	0.3175	VTO_0034991	0.5425	VTO_0034991	0.495	VTO_0034991	0.685	VTO_0033624	0.025	VTO_0033624	0.185						
VTO_0035069	35	VTO_0034991	0.3175	VTO_0034991	0.5475	VTO_0034991	0.495	VTO_0034991	0.685	VTO_0033624	0.03	VTO_0033624	0.19						
VTO_0035069	36	VTO_0034991	0.3175	VTO_0034991	0.5475	VTO_0034991	0.495	VTO_0034991	0.685	VTO_0033624	0.03	VTO_0046012	0.2						
VTO_0035069	37	VTO_0034991	0.315	VTO_0034991	0.5475	VTO_0034991	0.49	VTO_0034991	0.685	VTO_0033624	0.03	VTO_0046012	0.2						
VTO_0035069	38	VTO_0034991	0.315	VTO_0034991	0.5475	VTO_0034991	0.49	VTO_0034991	0.685	VTO_0033624	0.03	VTO_0033624	0.19						
VTO_0035069	39	VTO_0034991	0.315	VTO_0034991	0.54	VTO_0034991	0.49	VTO_0034991	0.68	VTO_0033624	0.03	VTO_0033624	0.19						
VTO_0035069	40	VTO_0034991	0.315	VTO_0034991	0.5475	VTO_0034991	0.49	VTO_0034991	0.685	VTO_0033624	0.03	VTO_0033624	0.19						
