QueryID	Number of annotations replaced	Best Match--BP Symmetric Profile IC	Best Match Similarity--BP Symmetric Profile IC	Best Match--BP Symmetric Annotation IC	Best Match Similarity--BP Symmetric Annotation IC	Best Match--BP Asymmetric Profile IC	Best Match Similarity--BP Asymmetric Profile IC	Best Match--BP Asymmetric Annotation IC	Best Match Similarity--BP Asymmetric Annotation IC	Best Match--AP Profile IC	Best Match Similarity--AP Profile IC	Best Match--AP Annotation IC	Best Match Similarity--AP Annotation IC	Best Match--BP Asymmetric Simj	Best Match Similarity--BP Asymmetric Simj	Best Match--BP Symmetric Simj	Best Match Similarity--BP Symmetric Simj	Best Match--AP Simj	Best Match Similarity--AP Simj
VTO_9017259	0	VTO_9017259	0.89	VTO_9017259	0.94	VTO_9017259	0.89	VTO_9017259	0.94	VTO_0059175	0.03	VTO_0059175	0.2	VTO_9017259	1.0	VTO_9017259	1.0	VTO_0034612	0.322599580713
VTO_9017259	1	VTO_9017259	0.89	VTO_9017259	0.94	VTO_9017259	0.89	VTO_9017259	0.94	VTO_0038632	0.03	VTO_0059175	0.2	VTO_9017259	1.0	VTO_9017259	1.0	VTO_9016999	0.393079790814
VTO_9017259	2	VTO_9017259	0.86	VTO_9017259	0.92	VTO_9017259	0.86	VTO_9017259	0.92	VTO_0038632	0.03	VTO_0059175	0.2	VTO_9017259	1.0	VTO_9017259	1.0	VTO_0060503	0.382239254804
VTO_9017259	3	VTO_9017259	0.83	VTO_9017259	0.9	VTO_9017259	0.83	VTO_9017259	0.9	VTO_0059175	0.035	VTO_0038632	0.22	VTO_9017259	1.0	VTO_9017259	1.0	VTO_9016999	0.442404805308
VTO_9017259	4	VTO_9017259	0.745	VTO_9017259	0.85	VTO_9017259	0.745	VTO_9017259	0.85	VTO_9016999	0.035	VTO_0038632	0.22	VTO_9017259	1.0	VTO_9017259	1.0	VTO_0060503	0.469932588283
VTO_9017259	5	VTO_9017259	0.365	VTO_9017259	0.545	VTO_0002210	0.495	VTO_0002210	0.7	VTO_0079063	0.045	VTO_0079063	0.23	VTO_0034991	0.974968890591	VTO_9017259	0.766340181558	VTO_0060503	0.492217933492
VTO_9017259	6	VTO_0002210	0.2825	VTO_0002210	0.5	VTO_0002210	0.495	VTO_0002210	0.7	VTO_0079063	0.045	VTO_0079063	0.23	VTO_0034991	0.974968890591	VTO_0034991	0.689865397676	VTO_0060503	0.492217933492
VTO_9017259	7	VTO_0002210	0.2825	VTO_0037519	0.5	VTO_0002210	0.495	VTO_0037519	0.7	VTO_0039240	0.04	VTO_0039240	0.225	VTO_0034991	0.952620967742	VTO_0034991	0.678720122425	VTO_0060503	0.485652050114
VTO_9017259	8	VTO_0037519	0.28	VTO_0037519	0.5	VTO_0037519	0.49	VTO_0037519	0.7	VTO_9016999	0.035	VTO_0034113	0.22	VTO_0034991	0.952620967742	VTO_0034991	0.679318002668	VTO_0060503	0.469932588283
VTO_9017259	9	VTO_0037519	0.275	VTO_0037519	0.4925	VTO_0037519	0.47	VTO_0037519	0.685	VTO_0034113	0.03	VTO_0081592	0.22	VTO_0037519	0.910797271539	VTO_0037519	0.663978517426	VTO_0060503	0.456844466016
