QueryID	Number of annotations replaced	Best Match--BP Symmetric Profile IC	Best Match Similarity--BP Symmetric Profile IC	Best Match--BP Symmetric Annotation IC	Best Match Similarity--BP Symmetric Annotation IC	Best Match--BP Asymmetric Profile IC	Best Match Similarity--BP Asymmetric Profile IC	Best Match--BP Asymmetric Annotation IC	Best Match Similarity--BP Asymmetric Annotation IC	Best Match--AP Profile IC	Best Match Similarity--AP Profile IC	Best Match--AP Annotation IC	Best Match Similarity--AP Annotation IC	Best Match--BP Asymmetric Simj	Best Match Similarity--BP Asymmetric Simj	Best Match--BP Symmetric Simj	Best Match Similarity--BP Symmetric Simj	Best Match--AP Simj	Best Match Similarity--AP Simj
VTO_9007203	0	VTO_9007203	0.83	VTO_9007203	0.9	VTO_9007203	0.83	VTO_9007203	0.9	VTO_9006308	0.03	VTO_9006308	0.195	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.284778294
VTO_9007203	1	VTO_9007203	0.83	VTO_9007203	0.9	VTO_9007203	0.83	VTO_9007203	0.9	VTO_9006308	0.025	VTO_9016999	0.18	VTO_0052581	1	VTO_0052581	1	VTO_0060503	0.288018433
VTO_9007203	2	VTO_9007203	0.83	VTO_9007203	0.9	VTO_9007203	0.83	VTO_9007203	0.9	VTO_0033624	0.025	VTO_9012092	0.175	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.286109926
VTO_9007203	3	VTO_9007203	0.79	VTO_9007203	0.875	VTO_9007203	0.79	VTO_9007203	0.875	VTO_9010598	0.02	VTO_9012092	0.175	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.287353446
VTO_9007203	4	VTO_9007203	0.735	VTO_9007203	0.845	VTO_9007203	0.735	VTO_9007203	0.845	VTO_9010598	0.02	VTO_0060500	0.16	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.287353446
VTO_9007203	5	VTO_9007203	0.685	VTO_9007203	0.81	VTO_9007203	0.685	VTO_9007203	0.81	VTO_9010598	0.02	VTO_0079063	0.165	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.286109926
VTO_9007203	6	VTO_9007203	0.61	VTO_9007203	0.76	VTO_9007203	0.61	VTO_9007203	0.76	VTO_9010598	0.02	VTO_0079063	0.165	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.287353446
VTO_9007203	7	VTO_9007203	0.61	VTO_9007203	0.76	VTO_9007203	0.61	VTO_9007203	0.76	VTO_9010598	0.02	VTO_0079063	0.165	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.295231687
VTO_9007203	8	VTO_9007203	0.515	VTO_9007203	0.705	VTO_9007203	0.515	VTO_9007203	0.705	VTO_0079063	0.025	VTO_0079063	0.18	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.287353446
VTO_9007203	9	VTO_9007203	0.425	VTO_9007203	0.645	VTO_0001466	0.445	VTO_0001466	0.67	VTO_0079063	0.025	VTO_0079063	0.18	VTO_0052581	1	VTO_0052581	1	VTO_9022875	0.295231687
